,word,wlen,surp,mono_gaze_dur,mono_fix_pup_size,l2_gaze_dur,l2_fix_pup_size
0,The,3,5.175299644470215,226.69230769230768,2684.346153846154,232.625,3344.875
1,intense,7,15.440462112426758,276.7692307692308,2666.653846153846,367.55555555555554,2985.463333333333
2,interest,8,14.434409141540527,293.38461538461536,2601.7053846153844,399.75,3126.45375
3,aroused,7,20.29145240783692,217.6428571428572,2665.047857142857,327.44444444444446,2974.528888888889
4,in,2,4.22160530090332,171.42857142857142,2883.3571428571427,143.5,2924.0
5,the,3,1.9176305532455444,215.75,2732.583333333333,229.8333333333333,2631.278333333333
6,public,6,9.682860374450684,233.7,2798.3,384.8888888888889,3035.508888888889
7,by,2,7.632321834564209,227.66666666666663,2426.555555555556,239.5,2576.5
8,what,4,10.298523902893066,287.1818181818182,2533.8636363636365,307.625,3115.375
9,was,3,6.955475330352783,200.3333333333333,2012.1666666666667,250.4,3256.4
10,known,5,7.40025520324707,193.8571428571429,2605.1428571428573,266.57142857142856,2983.0714285714284
11,at,2,5.816469192504883,218.2,2308.4,192.3333333333333,3511.333333333333
12,the,3,1.931572318077088,235.66666666666663,2275.222222222222,265.25,2712.25
13,time,4,8.333144187927246,185.5555555555556,2200.111111111112,251.28571428571428,3009.047142857143
14,as,2,6.830622673034668,154.75,2488.0,227.16666666666663,3017.833333333333
15,Styles,6,19.40420150756836,315.38461538461536,2558.153846153846,315.44444444444446,2967.833333333333
16,has,3,9.146353721618652,221.0909090909091,2389.0454545454545,313.0,2997.834
17,now,3,8.989402770996094,220.1,2523.55,271.625,2897.5625
18,somewhat,8,15.27298355102539,238.92857142857144,2510.1307142857145,283.8888888888889,2958.711111111111
19,in,2,5.580653190612793,224.66666666666663,2309.8883333333333,247.6,2505.6
20,view,4,13.885862350463867,259.6666666666667,2398.4308333333333,281.0,2717.695
21,of,2,5.161020278930664,185.875,2300.75,289.6666666666667,3076.6666666666665
22,the,3,1.9533538818359373,208.5,2520.333333333333,265.0,2730.5
23,notoriety,9,21.31846618652344,573.9285714285714,2396.0092857142854,703.5555555555555,2820.0622222222223
24,which,5,9.233070373535156,210.2,2498.1,245.0,2858.3244444444445
25,attended,8,10.09840488433838,227.78571428571428,2333.155,314.44444444444446,2876.758888888889
26,have,4,8.769775390625,209.8571428571429,2321.285714285714,271.875,2801.89625
27,been,4,4.850625991821289,221.7,2226.0,297.125,2943.8125
28,both,4,12.053956031799316,213.125,2211.5625,252.875,2888.125
29,by,2,7.355034351348877,227.0,2000.0366666666669,253.0,2600.0
30,my,2,12.013718605041504,233.42857142857144,2370.428571428572,218.8333333333333,2965.361666666666
31,friend,6,11.34994125366211,205.72727272727272,2077.211818181818,191.25,2629.895
32,and,3,3.979132413864136,206.28571428571428,2133.714285714286,361.25,3215.3325
33,the,3,3.466989040374756,246.57142857142856,2043.142857142857,247.8571428571429,2659.0285714285715
34,family,6,8.543753623962402,308.0,2319.756153846154,276.22222222222223,2788.407777777777
35,to,2,5.280773162841797,212.0,2284.1666666666665,262.5,3110.0
36,write,5,10.077533721923828,182.625,2470.0,227.57142857142856,2641.5
37,an,2,8.03448486328125,240.3,2219.1,205.16666666666663,2821.5
38,account,7,12.33954620361328,166.66666666666666,2375.833333333333,243.5555555555556,2701.3888888888887
39,of,2,2.846163511276245,157.4,2583.8,205.3333333333333,2962.333333333333
40,the,3,1.9197088479995728,181.66666666666663,2230.9166666666665,242.5,2425.333333333333
41,whole,5,11.438663482666016,199.5555555555556,2188.9444444444443,223.22222222222223,2665.0
42,we,2,13.27849006652832,180.75,2128.0975,262.6,2707.8
43,will,4,10.935226440429688,251.5833333333333,2098.1666666666665,144.875,2582.41625
44,silence,7,19.553943634033203,245.0,2257.214285714286,218.66666666666663,2521.83
45,the,3,6.572230815887451,185.16666666666663,1991.4166666666667,161.33333333333334,2654.5
46,sensational,11,17.183116912841797,262.7857142857143,2241.1071428571427,559.0,2528.4455555555555
47,rumours,7,19.10099029541016,261.3076923076923,2215.653846153846,260.1111111111111,2536.4444444444443
48,which,5,10.605427742004396,188.5555555555556,2112.777777777778,217.0,2447.0
49,still,5,10.578343391418455,254.91666666666663,2203.125,232.0,2412.5625
50,I,1,9.403525352478027,209.66666666666663,1863.3333333333333,152.0,2489.0
51,will,4,11.266798973083496,210.44444444444449,2251.0744444444445,274.0,2416.3125
52,therefore,9,12.06257438659668,259.53846153846155,1985.6153846153843,244.22222222222223,2401.0744444444445
53,briefly,7,14.726457595825195,275.35714285714283,2198.3857142857146,323.3333333333333,2504.611111111112
54,set,3,11.71568489074707,217.66666666666663,2226.055555555556,278.57142857142856,2570.5714285714284
55,down,4,9.168901443481444,221.44444444444449,2144.5,180.14285714285714,2348.0714285714284
56,the,3,3.1724321842193604,161.2,1884.0,203.2,2450.8
57,circumstances,13,14.41969108581543,261.2857142857143,2141.214285714286,433.6666666666667,2538.25
58,which,5,8.67845630645752,284.0,2102.625,218.125,2501.5
59,led,3,9.08117389678955,186.0,2185.6666666666665,195.16666666666663,2578.25
60,to,2,3.5184266567230225,213.75,2070.375,211.42857142857144,2419.428571428572
61,my,2,11.753422737121582,256.25,2223.75,250.0,2407.875
62,being,5,10.437559127807615,250.11111111111111,2013.6855555555555,187.66666666666663,2450.3883333333333
63,connected,9,11.419207572937012,212.6428571428572,1969.678571428572,422.22222222222223,2445.4
64,with,4,5.156789779663086,194.0,1944.5,229.0,2387.5625
65,the,3,1.8440061807632449,169.16666666666666,1884.75,228.0,2717.5
66,I,1,9.403525352478027,207.0,2448.02125,168.2,2795.6
67,had,3,9.842000007629396,207.92307692307693,2562.794615384616,259.25,2869.5625
68,been,4,5.169771194458008,209.69230769230768,2475.4100000000003,238.57142857142856,2888.355714285714
69,invalided,9,21.49365234375,388.1428571428572,2441.04,625.6666666666666,2832.761111111111
70,home,4,11.012693405151367,326.09090909090907,2608.752727272727,228.5,2932.47875
71,from,4,5.913810729980469,236.28571428571428,2450.4700000000003,207.625,2950.20875
72,the,3,1.9193437099456787,274.1428571428572,2322.69,384.3333333333333,2681.75
73,after,5,9.424434661865234,215.3636363636364,2291.6363636363635,326.8888888888889,2790.611111111112
74,spending,8,14.889689445495604,364.8333333333333,2185.2641666666664,279.2857142857143,2864.738571428571
75,some,4,9.941972732543944,314.1666666666667,1986.3333333333333,237.66666666666663,2953.6666666666665
76,months,6,9.612436294555664,354.5833333333333,2193.0,268.5,2778.14625
77,in,2,4.369965553283691,145.16666666666666,2259.4166666666665,196.8,2561.8
78,a,1,4.696784496307373,173.6,2189.6,212.5,3649.5
79,rather,6,13.936640739440918,288.92857142857144,2469.059285714286,326.22222222222223,2869.5
80,depressing,10,21.289045333862305,192.28571428571428,2357.6428571428573,305.6666666666667,2797.128888888889
81,was,3,6.238349914550781,265.6666666666667,2204.5,219.75,3044.875
82,given,5,8.812335968017578,243.0909090909091,2478.181818181818,429.25,2694.16625
83,a,1,5.393192768096924,185.0,2115.333333333333,252.3333333333333,2335.1666666666665
84,sick,4,18.13887405395508,270.1666666666667,2173.333333333333,332.6666666666667,2686.1666666666665
85,Having,6,14.637450218200684,225.0,2117.230769230769,377.0,2809.1428571428573
86,no,2,13.24886417388916,144.0,2404.8,155.25,2778.5
87,near,4,12.49578857421875,330.1666666666667,2215.083333333333,272.125,2617.9375
88,relations,9,13.967907905578612,283.6923076923077,2302.8715384615384,325.1111111111111,2612.7555555555555
89,or,2,8.719602584838867,255.57142857142856,2016.571428571429,224.0,2169.0
90,I,1,9.962641716003418,131.0,2593.0,220.0,2680.5
91,was,3,5.816725730895996,201.16666666666663,2306.4166666666665,272.7142857142857,2615.714285714286
92,trying,6,12.225570678710938,216.5555555555556,2270.833333333333,172.14285714285714,2408.1428571428573
93,to,2,3.0166337490081787,188.5,2289.125,265.0,3150.0
94,make,4,7.88598108291626,196.91666666666663,2245.1666666666665,220.1428571428572,2453.0
95,up,2,9.684819221496582,213.66666666666663,2121.833333333333,218.5,2531.75
96,my,2,12.744033813476562,202.42857142857144,1952.571428571429,199.625,2514.75
97,mind,4,12.79104995727539,235.8,2115.517,229.0,2524.4166666666665
98,what,4,13.684133529663086,203.3333333333333,2120.111111111112,324.6,2700.1
99,to,2,6.415578365325928,213.8333333333333,2184.1116666666667,300.25,2345.75
100,when,4,9.507085800170898,210.75,2122.75,229.8,2142.2
101,I,1,9.864546775817873,259.5,1879.875,265.55555555555554,2475.555555555556
102,ran,3,13.214261054992676,269.4,2065.4,223.2,2713.4
103,across,6,10.788578987121582,284.07142857142856,2171.8214285714284,350.0,2526.055555555556
104,John,4,10.506964683532717,209.0,2100.318181818182,171.25,2551.1875
105,I,1,9.403525352478027,140.0,2696.0,155.0,3195.0
106,had,3,9.842000007629396,200.125,2159.6875,308.57142857142856,2661.428571428572
107,seen,4,8.955912590026855,318.15384615384613,2177.903846153846,318.8,2256.5
108,very,4,11.192790985107422,201.42857142857144,1885.7142857142856,227.0,2548.214285714286
