,word,sentid,sentpos,wlen,surp,entropy,entred
0,The,0,0,3,5.175299644470215,13.10289478302002,0.0
1,intense,0,1,7,15.440462112426758,11.986347198486328,1.1165475845336914
2,interest,0,2,8,14.434409141540527,10.02718448638916,1.959162712097168
3,aroused,0,3,7,20.291452407836918,8.961705207824707,1.0654792785644531
4,in,0,4,2,4.22160530090332,8.474387168884277,0.4873180389404297
5,the,0,5,3,1.9176305532455444,10.292704582214355,0.0
6,public,0,6,6,9.682860374450684,13.124588966369627,0.0
7,by,0,7,2,7.632321834564209,10.946891784667969,2.17769718170166
8,what,0,8,4,10.298523902893066,10.298019409179688,0.6488723754882812
9,was,0,9,3,6.955475330352783,11.732867240905762,0.0
10,known,0,10,5,7.40025520324707,10.142743110656738,1.5901241302490234
11,at,0,11,2,5.816469192504883,7.127172470092773,3.015570640563965
12,the,0,12,3,1.9315723180770876,10.323351860046388,0.0
13,time,0,13,4,8.333144187927246,13.125030517578123,0.0
14,as,0,14,2,6.830622673034668,6.35204029083252,6.7729902267456055
15,<unk>,0,15,5,24.360862731933597,9.586709976196287,0.0
16,Styles,0,16,6,19.40420150756836,6.917392730712891,2.6693172454833984
17,<unk>,0,17,5,26.119590759277344,6.839211940765381,0.0781807899475097
18,has,0,18,3,9.146353721618652,7.537125110626221,0.0
19,now,0,19,3,8.989402770996094,9.883207321166992,0.0
20,somewhat,0,20,8,15.27298355102539,10.654461860656738,0.0
21,<unk>,0,21,5,23.97482681274414,10.78444004058838,0.0
22,<unk>,1,0,5,22.81322860717773,13.10289478302002,0.0
23,in,1,1,2,5.580653190612793,10.164562225341797,2.9383325576782227
24,view,1,2,4,13.885862350463867,10.566707611083984,0.0
25,of,1,3,2,5.161020278930664,9.881559371948242,0.6851482391357422
26,the,1,4,3,1.9533538818359373,10.376399040222168,0.0
27,<unk>,1,5,5,23.46564102172852,13.113550186157228,0.0
28,notoriety,1,6,9,21.31846618652344,10.92655086517334,2.1869993209838867
29,which,1,7,5,9.233070373535156,8.186858177185059,2.739692687988281
30,attended,1,8,8,10.09840488433838,9.829546928405762,0.0
31,<unk>,1,9,5,23.57103157043457,11.042006492614746,0.0
32,I,1,10,1,10.54892349243164,8.56920051574707,2.472805976867676
33,have,1,11,4,8.769775390625,8.791482925415039,0.0
34,been,1,12,4,4.850625991821289,9.97239589691162,0.0
35,<unk>,1,13,5,25.7827091217041,9.888805389404297,0.0835905075073242
36,both,1,14,4,12.053956031799316,7.672361373901367,2.2164440155029297
37,by,1,15,2,7.355034351348877,10.803667068481444,0.0
38,my,1,16,2,12.013718605041504,10.304214477539062,0.4994525909423828
39,friend,1,17,6,11.34994125366211,12.02086067199707,0.0
40,<unk>,1,18,5,23.97644805908203,10.767242431640623,1.253618240356445
41,and,1,19,3,3.979132413864136,8.736284255981445,2.03095817565918
42,the,1,20,3,3.466989040374756,12.452083587646484,0.0
