,code,mean_rt,word,surprisal
0,17000,380.27529411764704,In,4.57937
2,17002,296.04294117647055,County,12.6541
4,17004,403.5535294117647,near,12.2238
5,17005,306.07588235294116,the,1.98095
6,17006,289.0482352941176,River,15.709
8,17008,346.30529411764707,there,11.7415
9,17009,306.6311764705883,is,2.90521
10,17010,281.77647058823527,a,2.35382
11,17011,258.03647058823526,quiet,13.3316
12,17012,298.04352941176467,little,6.60724
13,17013,292.3229411764706,suburb,15.866
14,17014,335.39294117647063,by,8.07692
15,17015,262.9494117647059,the,2.89443
16,17016,243.0141176470588,name,10.902
17,17017,244.76882352941175,of,2.17943
19,17019,375.4025,which,15.7846
20,17020,324.44176470588235,means,9.16165
22,17022,310.26529411764704,of,5.83894
25,17025,377.0558823529412,none,14.4954
26,17026,269.1035294117647,of,1.78988
27,17027,256.2182352941177,the,1.1459
28,17028,264.6788235294118,residents,15.1267
29,17029,326.9576470588235,realize,14.82
30,17030,299.5382352941176,the,7.00778
31,17031,268.4082352941176,influence,12.7837
32,17032,296.78470588235297,their,11.4865
33,17033,296.24176470588236,town,14.1052
34,17034,361.4358823529412,has,9.00298
35,17035,266.3805882352941,had,6.59105
36,17036,256.7835294117647,on,12.8607
37,17037,285.1605882352941,American,12.1547
38,17038,348.18470588235294,military,10.5408
40,17040,369.60823529411766,or,8.48984
41,17041,260.2647058823529,the,5.36467
42,17042,249.57823529411763,deeds,18.1069
43,17043,290.52941176470586,of,2.96339
45,17045,270.42294117647054,that,7.2376
46,17046,247.63823529411766,have,6.52668
47,17047,271.3376470588235,been,2.63539
48,17048,319.1605882352941,done,9.81912
49,17049,281.86823529411765,in,3.70415
50,17050,245.44058823529411,its,6.28193
52,17052,300.72764705882355,The,2.68215
53,17053,274.9164705882353,cry,17.7505
56,17056,356.94529411764705,from,7.06961
57,17057,273.3517647058824,the,1.75654
58,17058,265.30176470588236,lips,16.9599
59,17059,253.22411764705885,of,3.96339
60,17060,247.4129411764706,a,5.0337
61,17061,307.34235294117644,charging,15.8519
64,17064,291.204705882353,was,8.22744
65,17065,274.834705882353,the,3.35473
66,17066,243.74,last,7.72655
67,17067,258.34352941176473,sound,15.661
68,17068,250.1764705882353,heard,14.4516
69,17069,288.1482352941177,on,7.98529
70,17070,274.4364705882353,this,7.34095
71,17071,296.5311764705882,earth,17.7285
72,17072,266.5064705882353,by,7.95239
73,17073,288.9194117647059,untold,17.9163
74,17074,324.6235294117647,numbers,13.729
75,17075,311.3388235294118,of,5.32752
77,17077,500.07117647058817,Sioux,17.3111
78,17078,363.69235294117647,and,6.68245
80,17080,377.6035294117647,Mexican,15.7486
82,17082,440.943125,under,10.466
85,17085,429.90588235294115,Japanese,13.3111
86,17086,286.37176470588236,in,10.4552
87,17087,268.2917647058824,the,2.68569
88,17088,240.98352941176472,South,8.47582
90,17090,359.81823529411764,and,5.48786
91,17091,320.58187499999997,Chinese,13.931
92,17092,286.32235294117646,and,5.87267
93,17093,321.4123529411765,North,12.2223
94,17094,282.0876470588235,Korean,6.71523
95,17095,298.6858823529412,Communists,17.3873
96,17096,309.43176470588236,in,6.64327
99,17099,459.94666666666666,is,6.41849
100,17100,330.0094117647059,the,4.30241
101,17101,300.55999999999995,battle,12.4125
102,17102,276.0141176470588,cry,17.485
103,17103,275.82705882352946,of,6.88793
104,17104,269.52235294117645,the,3.44768
106,17106,282.47764705882355,U.S.,10.835
112,17112,355.5176470588235,Today,10.2125
113,17113,274.72235294117644,a,7.74385
114,17114,331.57375,battle,11.1756
115,17115,303.1664705882353,cry,17.81
116,17116,291.48823529411766,may,9.87549
117,17117,293.77176470588233,seem,7.64831
118,17118,273.80529411764707,an,10.1864
120,17120,509.60647058823525,for,7.74469
121,17121,347.95411764705887,in,11.1798
122,17122,374.94588235294117,the,2.42276
123,17123,307.0135294117647,modern,17.41
126,17126,405.20411764705887,de,10.6635
127,17127,443.555294117647,corps,8.12025
128,17128,321.2352941176471,has,8.51725
129,17129,328.739375,been,3.10888
131,17131,306.2176470588235,to,6.67476
132,17132,340.67812499999997,organizational,17.6471
133,17133,388.88882352941175,charts,16.1947
134,17134,305.5394117647059,and,6.34977
136,17136,269.3670588235294,But,4.58894
138,17138,272.0070588235294,tell,13.7979
139,17139,265.37,that,7.89413
140,17140,274.9235294117648,to,9.91256
141,17141,274.10823529411766,a,5.97938
142,17142,255.72235294117647,veteran,12.5638
143,17143,275.01882352941175,of,3.23012
144,17144,236.71823529411765,the,3.44768
147,17147,364.96529411764703,especially,13.9987
148,17148,282.74764705882353,in,6.85787
149,17149,275.9664705882353,a,4.48337
151,17151,315.30117647058825,on,7.54732
152,17152,295.5076470588235,Saturday,9.89972
154,17154,295.1135294117647,Of,9.48448
155,17155,296.2964705882353,all,6.25566
156,17156,279.1311764705883,the,1.68939
157,17157,326.9429411764706,thousands,12.9606
158,17158,279.2982352941176,of,0.989038
159,17159,259.275625,men,12.1001
160,17160,270.3235294117647,who,4.67492
161,17161,279.4005882352941,have,5.20407
162,17162,252.8435294117647,served,11.2731
163,17163,267.59529411764703,in,5.54336
164,17164,253.78294117647062,the,2.68569
167,17167,343.65529411764703,perhaps,14.4904
168,17168,336.9476470588235,no,11.3553
169,17169,263.09529411764703,one,5.03656
170,17170,257.4294117647059,knows,12.2012
171,17171,300.85705882352937,its,9.49998
172,17172,252.79823529411763,spirit,15.6258
173,17173,289.1858823529412,better,12.1473
174,17174,261.22117647058826,than,2.72225
178,17178,402.0025,C.,15.939
181,17181,315.15647058823527,and,6.81849
183,17183,421.2011764705882,with,7.74011
184,17184,307.0476470588235,steel,12.1379
185,17185,365.6975,blue,14.9505
186,17186,346.834705882353,eyes,6.21132
187,17187,285.05470588235295,and,3.78909
188,17188,310.4117647058824,a,5.56924
189,17189,266.5735294117647,chest,18.3768
191,17191,336.08411764705886,with,7.28026
193,17193,411.14,Chandler,14.9205
194,17194,294.91058823529414,is,7.90062
195,17195,244.48,the,4.53636
197,17197,344.65647058823527,of,1.69705
198,17198,265.62529411764706,the,3.58934
201,17201,268.8488235294118,The,2.68215
202,17202,276.8194117647059,truth,16.3123
205,17205,310.7005882352941,that,6.1654
206,17206,285.2035294117647,when,9.27215
207,17207,251.26823529411763,Mel,18.3211
208,17208,293.81,Chandler,15.0344
209,17209,331.5241176470588,first,12.2401
210,17210,278.8552941176471,reported,10.7772
211,17211,293.72235294117644,to,6.40879
212,17212,281.915294117647,the,4.68322
214,17214,271.86117647058825,the,6.6718
215,17215,291.6058823529412,only,9.85523
217,17217,411.5005882352941,he,11.7415
218,17218,320.2841176470588,had,5.1987
219,17219,301.9823529411765,ever,9.12806
221,17221,326.6594117647059,was,9.00098
