word sentid sentpos wlen surp entropy entred
In 0 0 2 6.475118637084961 11.105680465698242 0
<unk> 0 1 5 5.0996174812316895 9.14240550994873 1.9632749557495117
County 0 2 6 11.517128944396973 7.625983238220215 1.5164222717285156
<unk> 0 3 5 5.786124229431152 7.59533166885376 0.030651569366455078
near 0 4 4 10.847681045532227 7.662210941314697 0
the 0 5 3 1.9809712171554565 8.989468574523926 0
River 0 6 5 12.027287483215332 11.6463041305542 0
<unk> 0 7 5 6.809869289398193 7.213968276977539 4.43233585357666
there 0 8 5 11.58448600769043 7.2909111976623535 0
is 0 9 2 5.838072299957275 9.57706069946289 0
a 0 10 1 3.8872437477111816 9.726910591125488 0
quiet 0 11 5 12.763314247131348 11.79612922668457 0
little 0 12 6 12.535977363586426 9.84177303314209 1.9543561935424805
suburb 0 13 6 15.405909538269043 9.884139060974121 0
by 0 14 2 7.412662506103516 8.196674346923828 1.687464714050293
the 0 15 3 2.0282015800476074 9.094849586486816 0
name 0 16 4 9.27505874633789 11.688138008117676 0
of 0 17 2 2.8490946292877197 8.705409049987793 2.982728958129883
<unk> 0 18 5 5.11266565322876 9.072591781616211 0
which 0 19 5 9.533936500549316 7.6672797203063965 1.4053120613098145
means 0 20 5 11.28495979309082 9.878479957580566 0
<unk> 0 21 5 6.182692527770996 9.354769706726074 0.5237102508544922
of 0 22 2 4.615730285644531 7.978606224060059 1.3761634826660156
<unk> 0 23 5 5.0963945388793945 9.020195960998535 0
<unk> 0 24 5 4.851850509643555 7.420318126678467 1.5998778343200684
none 0 25 4 18.7557315826416 7.105273246765137 0.3150448799133301
of 0 26 2 5.043450832366943 7.598075866699219 0
the 0 27 3 1.9831125736236572 9.008565902709961 0
residents 0 28 9 12.949668884277344 11.631111145019531 0
realize 0 29 7 17.551027297973633 7.606014728546143 4.025096416473389
the 0 30 3 4.331473350524902 9.85549545288086 0
influence 0 31 9 11.928735733032227 11.619612693786621 0
their 0 32 5 14.518776893615723 8.134255409240723 3.4853572845458984
town 0 33 4 12.864617347717285 12.185639381408691 0
has 0 34 3 9.35735034942627 7.718661308288574 4.466978073120117
had 0 35 3 7.296910762786865 9.395378112792969 0
on 0 36 2 9.43845272064209 9.271013259887695 0.12436485290527344
American 0 37 8 10.42371940612793 8.981969833374023 0.2890434265136719
military 0 38 8 10.614338874816895 12.511191368103027 0
<unk> 0 39 5 5.849271774291992 8.809391975402832 3.7017993927001953
or 0 40 2 7.760657787322998 7.213789463043213 1.5956025123596191
the 0 41 3 3.6693005561828613 10.675971984863281 0
<unk> 0 42 5 4.689913749694824 11.684109687805176 0
of 0 43 2 3.044395923614502 8.038018226623535 3.6460914611816406
<unk> 0 44 5 5.206493377685547 8.750566482543945 0
that 0 45 4 7.767211437225342 6.708102703094482 2.042463779449463
have 0 46 4 8.007524490356445 9.001541137695312 0
been 0 47 4 2.9622371196746826 9.01428508758545 0
done 0 48 4 9.557709693908691 9.643620491027832 0
in 0 49 2 3.0004961490631104 5.300264358520508 4.343356132507324
its 0 50 3 6.8820343017578125 8.784257888793945 0
<unk> 0 51 5 4.909346103668213 11.958707809448242 0
The 1 0 3 5.230093955993652 11.105680465698242 0
cry 1 1 3 18.084381103515625 11.67659854888916 0
<unk> 1 2 5 6.000253200531006 10.83836555480957 0.8382329940795898
<unk> 1 3 5 5.446594715118408 9.096471786499023 1.7418937683105469
from 1 4 4 6.717953205108643 8.817887306213379 0.27858448028564453
the 1 5 3 1.9232957363128662 8.9033784866333 0
lips 1 6 4 16.75716781616211 11.68620777130127 0
of 1 7 2 3.0502142906188965 8.5573091506958 3.1288986206054688
a 1 8 1 4.12733268737793 8.909350395202637 0
charging 1 9 8 18.810293197631836 11.727842330932617 0
cavalry 1 10 7 14.957656860351562 9.875041961669922 1.8528003692626953
<unk> 1 11 5 5.835932731628418 8.497849464416504 1.377192497253418
was 1 12 3 6.260326385498047 7.991453170776367 0.5063962936401367
the 1 13 3 3.909191131591797 10.116473197937012 0
last 1 14 4 8.324872970581055 11.581724166870117 0
sound 1 15 5 12.112776756286621 10.300252914428711 1.2814712524414062
heard 1 16 5 15.780181884765625 8.307991981506348 1.9922609329223633
on 1 17 2 6.006118297576904 9.248799324035645 0
this 1 18 4 7.182040691375732 8.700193405151367 0.5486059188842773
earth 1 19 5 14.048638343811035 12.486529350280762 0
by 1 20 2 6.997169017791748 8.028130531311035 4.458398818969727
<unk> 1 21 5 4.983238220214844 9.104159355163574 0
numbers 1 22 7 13.46716022491455 7.62159538269043 1.4825639724731445
of 1 23 2 5.773537635803223 9.691644668579102 0
<unk> 1 24 5 5.034830570220947 8.957679748535156 0.7339649200439453
Sioux 1 25 5 16.320579528808594 7.108036041259766 1.8496437072753906
and 1 26 3 4.051944255828857 7.353353977203369 0
<unk> 1 27 5 4.221458435058594 11.138175010681152 0
Mexican 1 28 7 17.503684997558594 7.499352931976318 3.638822078704834
<unk> 1 29 5 5.544145107269287 7.764859676361084 0
under 1 30 5 10.359835624694824 7.301084518432617 0.4637751579284668
<unk> 1 31 5 5.194504737854004 8.83415699005127 0
<unk> 1 32 5 5.1029558181762695 7.13219690322876 1.7019600868225098
Japanese 1 33 8 16.048873901367188 6.826609134674072 0.3055877685546875
in 1 34 2 4.963708877563477 7.3726630210876465 0
the 1 35 3 1.914519190788269 8.789133071899414 0
South 1 36 5 9.787101745605469 11.628398895263672 0
<unk> 1 37 5 5.7253570556640625 10.47288990020752 1.1555089950561523
and 1 38 3 4.21838903427124 6.4239020347595215 4.048987865447998
Chinese 1 39 7 12.671706199645996 10.906978607177734 0
and 1 40 3 4.351232051849365 7.999670505523682 2.9073081016540527
North 1 41 5 10.570560455322266 10.935973167419434 0
Korean 1 42 6 10.474732398986816 9.322221755981445 1.6137514114379883
Communists 1 43 10 18.92408561706543 8.054094314575195 1.26812744140625
in 1 44 2 4.716955661773682 6.987815856933594 1.0662784576416016
<unk> 1 45 5 5.123579025268555 8.886802673339844 0
<unk> 2 0 5 3.887239933013916 11.105680465698242 0
is 2 1 2 6.615418434143066 8.904792785644531 2.200887680053711
the 2 2 3 3.5419461727142334 9.6654634475708 0
battle 2 3 6 9.974806785583496 11.754026412963867 0
cry 2 4 3 18.716426849365234 8.353747367858887 3.4002790451049805
of 2 5 2 4.297468185424805 10.04401683807373 0
the 2 6 3 1.9668573141098022 8.971609115600586 1.0724077224731445
7th 2 7 3 11.341588973999023 11.680899620056152 0
U.S. 2 8 4 12.380908966064453 9.815406799316406 1.865492820739746
Cavalry 2 9 7 16.21388053894043 10.457008361816406 0
<unk> 2 10 5 5.731378078460693 8.221622467041016 2.2353858947753906
<unk> 2 11 5 5.390171051025391 7.850353240966797 0.37126922607421875
Fighting 2 12 8 18.663549423217773 7.733495712280273 0.11685752868652344
<unk> 2 13 5 5.329694747924805 7.785815715789795 0
Today 2 14 5 14.411298751831055 7.421422958374023 0.3643927574157715
a 2 15 1 8.866155624389648 7.5539045333862305 0
battle 2 16 6 11.07133960723877 11.673794746398926 0
cry 2 17 3 18.191204071044922 9.571579933166504 2.102214813232422
may 2 18 3 10.451866149902344 10.032538414001465 0
seem 2 19 4 11.875669479370117 8.459275245666504 1.573263168334961
an 2 20 2 7.907531261444092 9.790919303894043 0
<unk> 2 21 5 5.092975616455078 12.03449821472168 0
for 2 22 3 5.996432304382324 8.281966209411621 3.7525320053100586
in 2 23 2 10.684276580810547 8.74072551727295 0
the 2 24 3 2.026885509490967 9.108912467956543 0
modern 2 25 6 10.450389862060547 11.621809959411621 0
<unk> 2 26 5 5.671317100524902 10.652536392211914 0.969273567199707
<unk> 2 27 5 5.984210014343262 7.268704891204834 3.38383150100708
de 2 28 2 10.691757202148438 7.408874988555908 0
corps 2 29 5 15.831025123596191 10.272563934326172 0
has 2 30 3 9.509400367736816 8.415716171264648 1.8568477630615234
been 2 31 4 3.492658853530884 9.267698287963867 0
sacrificed 2 32 10 17.66298484802246 9.64013957977295 0
to 2 33 2 2.8002748489379883 5.795361518859863 3.844778060913086
<unk> 2 34 5 5.2246904373168945 9.569087028503418 0
charts 2 35 6 14.887553215026855 9.081001281738281 0.4880857467651367
and 2 36 3 3.9333856105804443 6.728414535522461 2.3525867462158203
<unk> 2 37 5 4.714837551116943 10.781576156616211 0
But 3 0 3 11.202899932861328 11.105679512023926 0
<unk> 3 1 5 5.892302989959717 9.766683578491211 1.3389959335327148
tell 3 2 4 15.183412551879883 8.779369354248047 0.9873142242431641
that 3 3 4 6.758659362792969 10.031244277954102 0
to 3 4 2 8.997607231140137 9.0811767578125 0.9500675201416016
a 3 5 1 4.628322601318359 10.028986930847168 0
veteran 3 6 7 12.812732696533203 11.810670852661133 0
of 3 7 2 3.3274810314178467 9.802197456359863 2.0084733963012695
the 3 8 3 2.031778335571289 9.180586814880371 0.6216106414794922
Fighting 3 9 8 16.053321838378906 11.694470405578613 0
<unk> 3 10 5 5.738171100616455 9.677810668945312 2.016659736633301
especially 3 11 10 16.54367446899414 8.287766456604004 1.3900442123413086
in 3 12 2 4.823164463043213 9.544717788696289 0
a 3 13 1 4.155121803283691 8.994280815124512 0.5504369735717773
saloon 3 14 6 16.125314712524414 11.680596351623535 0
on 3 15 2 6.759179592132568 8.105164527893066 3.5754318237304688
Saturday 3 16 8 13.39742660522461 8.709049224853516 0
<unk> 3 17 5 5.949254035949707 6.652655124664307 2.056394100189209
Of 4 0 2 11.32268238067627 11.105680465698242 0
all 4 1 3 8.444622993469238 9.158952713012695 1.9467277526855469
the 4 2 3 4.489736557006836 11.158097267150879 0
thousands 4 3 9 15.067325592041016 11.61752986907959 0
of 4 4 2 2.949575662612915 8.586801528930664 3.030728340148926
men 4 5 3 11.43315601348877 8.87054443359375 0
who 4 6 3 9.367790222167969 9.719789505004883 0
have 4 7 4 5.7935099601745605 8.035735130310059 1.6840543746948242
served 4 8 6 9.16610336303711 9.174821853637695 0
in 4 9 2 4.050422191619873 8.151622772216797 1.0231990814208984
the 4 10 3 1.9104437828063965 8.798148155212402 0
7th 4 11 3 11.39376163482666 11.68059253692627 0
<unk> 4 12 5 6.0002546310424805 9.501273155212402 2.179319381713867
perhaps 4 13 7 17.038223266601562 7.744349956512451 1.7569231986999512
no 4 14 2 10.669184684753418 9.307943344116211 0
one 4 15 3 8.884696960449219 11.933430671691895 0
knows 4 16 5 16.645532608032227 9.60004711151123 2.333383560180664
its 4 17 3 8.728577613830566 9.38320255279541 0.2168445587158203
spirit 4 18 6 14.197588920593262 12.038167953491211 0
better 4 19 6 14.424309730529785 7.78231143951416 4.255856513977051
than 4 20 4 8.752374649047852 8.746414184570312 0
Lieutenant 4 21 10 15.292176246643066 9.388669967651367 0
Colonel 4 22 7 14.665111541748047 8.7904691696167 0.598200798034668
Melbourne 4 23 9 17.654640197753906 9.122246742248535 0
C. 4 24 2 13.820459365844727 7.51323127746582 1.6090154647827148
<unk> 4 25 5 6.140921115875244 7.37747049331665 0.13576078414916992
<unk> 5 0 5 3.887239933013916 11.105680465698242 0
and 5 1 3 4.700864315032959 8.904792785644531 2.200887680053711
<unk> 5 2 5 4.8262715339660645 10.981630325317383 0
with 5 3 4 6.64233922958374 8.782449722290039 2.1991806030273438
steel 5 4 5 13.950912475585938 9.025436401367188 0
blue 5 5 4 14.440576553344727 8.276198387145996 0.7492380142211914
eyes 5 6 4 14.70620346069336 9.112083435058594 0
and 5 7 3 4.6509222984313965 8.118885040283203 0.9931983947753906
a 5 8 1 4.894435882568359 10.696514129638672 0
chest 5 9 5 15.019718170166016 11.786861419677734 0
<unk> 5 10 5 6.555525779724121 7.891079425811768 3.895781993865967
with 5 11 4 6.522045612335205 7.8403449058532715 0.050734519958496094
<unk> 5 12 5 5.186020851135254 8.733848571777344 0
Chandler 5 13 8 16.953968048095703 7.758817195892334 0.9750313758850098
is 5 14 2 7.4538421630859375 7.30076789855957 0.45804929733276367
the 5 15 3 3.5855467319488525 9.727289199829102 0
<unk> 5 16 5 5.549141883850098 11.749979972839355 0
of 5 17 2 3.0166397094726562 7.94088077545166 3.8090991973876953
the 5 18 3 1.8384904861450195 8.581626892089844 0
<unk> 5 19 5 4.938813209533691 11.654228210449219 0
<unk> 5 20 5 5.968220233917236 7.871204853057861 3.7830233573913574
The 6 0 3 5.230093955993652 11.105680465698242 0
truth 6 1 5 13.861268997192383 11.67659854888916 0
<unk> 6 2 5 5.646305561065674 11.134628295898438 0.5419702529907227
<unk> 6 3 5 5.457556247711182 8.935376167297363 2.199252128601074
that 6 4 4 6.574375152587891 8.704506874084473 0.23086929321289062
when 6 5 4 9.224953651428223 9.050113677978516 0
<unk> 6 6 5 5.429701805114746 10.69608211517334 0
